2;1;5;02.04.2025;1
3;1;6;01.04.2025;2
4;1;7;03.04.2025;1
5;1;8;02.04.2025;3
6;2;4;05.04.2025;4
7;2;5;06.04.2025;4
8;2;9;05.04.2025;4
9;2;11;07.04.2025;4
10;3;4;03.04.2025;1
11;3;11;04.04.2025;3
12;3;12;05.04.2025;1
13;3;6;06.04.2025;3
14;4;13;07.04.2025;1
15;4;14;08.04.2025;2
16;4;20;09.04.2025;2
17;5;21;08.04.2025;3
18;5;22;09.04.2025;2
19;5;8;10.04.2025;1
20;5;5;09.04.2025;2
21;6;4;09.04.2025;4
22;6;7;10.04.2025;4
23;6;6;11.04.2025;4
24;6;8;09.04.2025;4
25;7;9;15.04.2025;1
26;7;10;16.04.2025;3
27;7;11;14.04.2025;2
28;8;7;20.04.2025;2
29;8;4;21.04.2025;2
30;8;4;22.04.2025;1
31;9;21;18.04.2025;4
32;9;22;19.04.2025;4
33;9;20;17.04.2025;4
34;11;21;25.04.2025;1
35;11;5;26.04.2025;2
36;11;7;24.04.2025;1
37;12;8;15.04.2025;4
38;12;9;16.04.2025;4
39;12;10;20.12.2024;4
40;13;11;21.12.2024;4
41;13;12;01.05.2025;2
42;13;13;02.05.2025;1
43;14;14;25.04.2025;3
44;14;15;26.04.2025;3
45;15;16;03.05.2025;1
46;15;17;04.05.2025;2
47;16;18;22.04.2025;1
48;16;19;30.04.2025;2
49;17;20;10.04.2025;4
50;17;21;08.04.2025;4
51;18;22;15.05.2025;1
52;18;23;16.05.2025;2
